record_id	input_name	requested_taxon_id	matched_name	name_class	taxon_id	parent_taxon_id	rank	unique_name	status	snapshot	source_url	retrieved_at	names_sha256	nodes_sha256	resolver_version
NP_009225.1	Homo sapiens	9606	Homo sapiens	scientific name	9606	9605	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001038958.1	Pan troglodytes	9598	Pan troglodytes	scientific name	9598	9596	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001108421.1	Macaca mulatta	9544	Macaca mulatta	scientific name	9544	9539	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_017364815.1	Cebus imitator	2715852	Cebus imitator	scientific name	2715852	9513	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_045382602.1	Lemur catta	9447	Lemur catta	scientific name	9447	9446	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_033894.3	Mus musculus	10090	Mus musculus	scientific name	10090	862507	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_017204702.2	Oryctolagus cuniculus	9986	Oryctolagus cuniculus	scientific name	9986	9984	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_036646.2	Rattus norvegicus	10116	Rattus norvegicus	scientific name	10116	10114	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_013005150.1	Cavia porcellus	10141	Cavia porcellus	scientific name	10141	10140	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_047399506.1	Sciurus carolinensis	30640	Sciurus carolinensis	scientific name	30640	10001	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
