record_id	input_name	requested_taxon_id	matched_name	name_class	taxon_id	parent_taxon_id	rank	unique_name	status	snapshot	source_url	retrieved_at	names_sha256	nodes_sha256	resolver_version
NP_009225.1	Homo sapiens	9606	Homo sapiens	scientific name	9606	9605	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001038958.1	Pan troglodytes	9598	Pan troglodytes	scientific name	9598	9596	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_033894.3	Mus musculus	10090	Mus musculus	scientific name	10090	862507	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_017204702.2	Oryctolagus cuniculus	9986	Oryctolagus cuniculus	scientific name	9986	9984	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001013434.1	Canis lupus familiaris	9615	Canis lupus familiaris	scientific name	9615	9612	subspecies		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_848668.1	Bos taurus	9913	Bos taurus	scientific name	9913	9903	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_014595447.2	Equus caballus	9796	Equus caballus	scientific name	9796	9789	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_003414318.3	Loxodonta africana	9785	Loxodonta africana	scientific name	9785	9784	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
XP_058140293.1	Dasypus novemcinctus	9361	Dasypus novemcinctus	scientific name	9361	9360	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
NP_001029141.1	Monodelphis domestica	13616	Monodelphis domestica	scientific name	13616	13615	species		resolved-exact-scientific-name	new_taxdump_2026-08-01	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump_archive/new_taxdump_2026-08-01.zip	2026-08-13T08:23:00Z	c3aac85da1bf473792e95bf8fe2d6933dcb31f2d649a3f8579e21011d772dca9	502ef4e7f1a8383e89d759b056524e8bcc16fe6950965f972d13f44411430f17	0.1.0
