accession_version	taxon_id	species	gene_id	sequence_length	length_ratio_to_query	isoform_label	archive_scope	source_record_status	selection_status	reason_code	evidence_note
XP_008111382.1	28377	Anolis carolinensis	100553919	1697	0.910896	X1	selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_008111383.1	28377	Anolis carolinensis	100553919	1696	0.910360	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_848668.1	9913	Bos taurus	353120	1849	0.992485		selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_005220736.2	9913	Bos taurus	353120	751	0.403113	X7	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_010814518.2	9913	Bos taurus	353120	1849	0.992485	X1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733745.1	9913	Bos taurus	353120	1848	0.991948	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733746.1	9913	Bos taurus	353120	1823	0.978529	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733747.1	9913	Bos taurus	353120	1822	0.977992	X4	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733748.1	9913	Bos taurus	353120	1759	0.944176	X5	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733749.1	9913	Bos taurus	353120	1722	0.924316	X6	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733751.1	9913	Bos taurus	353120	750	0.402576	X8	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_059733752.1	9913	Bos taurus	353120	725	0.389157	X9	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
