accession	profile	domain	interval_index	residue_start	residue_end	raw_msa_start	raw_msa_end	total_residues	retained_residues	retained_fraction	minimum_retained_fraction	status
NP_009225.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_009225.1	permissive	brct	1	1644	1726	1947	2029	83	83	1.000000	0.800000	pass
NP_009225.1	permissive	brct	2	1758	1845	2066	2154	88	88	1.000000	0.800000	pass
NP_009225.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_009225.1	balanced	brct	1	1644	1726	1947	2029	83	83	1.000000	0.800000	pass
NP_009225.1	balanced	brct	2	1758	1845	2066	2154	88	88	1.000000	0.800000	pass
NP_009225.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_009225.1	strict	brct	1	1644	1726	1947	2029	83	83	1.000000	0.800000	pass
NP_009225.1	strict	brct	2	1758	1845	2066	2154	88	88	1.000000	0.800000	pass
NP_001038958.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001038958.1	permissive	brct	1	1644	1726	1947	2029	83	83	1.000000	0.800000	pass
NP_001038958.1	permissive	brct	2	1758	1845	2066	2154	88	88	1.000000	0.800000	pass
NP_001038958.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001038958.1	balanced	brct	1	1644	1726	1947	2029	83	83	1.000000	0.800000	pass
NP_001038958.1	balanced	brct	2	1758	1845	2066	2154	88	88	1.000000	0.800000	pass
NP_001038958.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001038958.1	strict	brct	1	1644	1726	1947	2029	83	83	1.000000	0.800000	pass
NP_001038958.1	strict	brct	2	1758	1845	2066	2154	88	88	1.000000	0.800000	pass
NP_033894.3	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_033894.3	permissive	brct	1	1587	1669	1947	2029	83	83	1.000000	0.800000	pass
NP_033894.3	permissive	brct	2	1699	1787	2064	2154	89	89	1.000000	0.800000	pass
NP_033894.3	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_033894.3	balanced	brct	1	1587	1669	1947	2029	83	83	1.000000	0.800000	pass
NP_033894.3	balanced	brct	2	1699	1787	2064	2154	89	89	1.000000	0.800000	pass
