alignment_id	tip_id	ungapped_length	gap_fraction	leading_gaps	trailing_gaps
raw	NP_009225.1	1863	0.145021	5	7
raw	XP_003414318.3	1858	0.147315	0	7
raw	XP_072775070.1	1803	0.172556	5	14
raw	NP_989500.1	1749	0.197338	5	12
raw	XP_019406054.1	1845	0.153281	5	12
raw	NP_033894.3	1812	0.168426	5	0
raw	XP_017204702.2	1853	0.149610	5	0
raw	NP_001013434.1	1878	0.138137	5	0
raw	XP_014595447.2	1856	0.148233	5	11
raw	NP_848668.1	1849	0.151446	5	14
raw	XP_008111382.1	1697	0.221202	5	14
raw	XP_026576759.1	1563	0.282698	5	6
raw	NP_001029141.1	1840	0.155576	5	7
raw	NP_001038958.1	1863	0.145021	5	7
raw	XP_023967135.2	1908	0.124369	5	12
raw	XP_058140293.1	1839	0.156035	5	11
raw	NP_001107963.1	1592	0.269390	5	15
raw	XP_029429046.1	1920	0.118862	5	12
permissive	NP_009225.1	1863	0.089443	0	7
permissive	XP_003414318.3	1852	0.094819	0	7
permissive	XP_072775070.1	1803	0.118768	0	14
permissive	NP_989500.1	1749	0.145161	0	12
permissive	XP_019406054.1	1844	0.098729	0	12
permissive	NP_033894.3	1810	0.115347	0	0
permissive	XP_017204702.2	1853	0.094330	0	0
permissive	NP_001013434.1	1873	0.084555	0	0
permissive	XP_014595447.2	1856	0.092864	0	11
permissive	NP_848668.1	1849	0.096285	0	14
permissive	XP_008111382.1	1687	0.175464	0	14
permissive	XP_026576759.1	1527	0.253666	0	6
permissive	NP_001029141.1	1835	0.103128	0	7
permissive	NP_001038958.1	1863	0.089443	0	7
permissive	XP_023967135.2	1903	0.069892	0	12
permissive	XP_058140293.1	1839	0.101173	0	11
permissive	NP_001107963.1	1563	0.236070	0	15
permissive	XP_029429046.1	1886	0.078201	0	12
balanced	NP_009225.1	1841	0.005402	0	0
balanced	XP_003414318.3	1839	0.006483	0	0
balanced	XP_072775070.1	1683	0.090762	0	3
balanced	NP_989500.1	1640	0.113992	0	1
balanced	XP_019406054.1	1737	0.061588	0	1
balanced	NP_033894.3	1793	0.031334	0	0
balanced	XP_017204702.2	1824	0.014587	0	0
balanced	NP_001013434.1	1842	0.004862	0	0
balanced	XP_014595447.2	1844	0.003782	0	0
balanced	NP_848668.1	1829	0.011885	0	3
balanced	XP_008111382.1	1620	0.124797	0	3
balanced	XP_026576759.1	1453	0.215019	0	0
balanced	NP_001029141.1	1813	0.020529	0	0
balanced	NP_001038958.1	1841	0.005402	0	0
balanced	XP_023967135.2	1771	0.043220	0	1
balanced	XP_058140293.1	1836	0.008104	0	0
balanced	NP_001107963.1	1490	0.195030	0	4
balanced	XP_029429046.1	1772	0.042680	0	1
strict	NP_009225.1	1477	0.000000	0	0
strict	XP_003414318.3	1471	0.004062	0	0
strict	XP_072775070.1	1471	0.004062	0	0
strict	NP_989500.1	1469	0.005416	0	0
strict	XP_019406054.1	1471	0.004062	0	0
strict	NP_033894.3	1462	0.010156	0	0
strict	XP_017204702.2	1471	0.004062	0	0
strict	NP_001013434.1	1477	0.000000	0	0
strict	XP_014595447.2	1477	0.000000	0	0
strict	NP_848668.1	1471	0.004062	0	0
strict	XP_008111382.1	1443	0.023020	0	0
strict	XP_026576759.1	1337	0.094787	0	0
strict	NP_001029141.1	1467	0.006770	0	0
strict	NP_001038958.1	1477	0.000000	0	0
strict	XP_023967135.2	1468	0.006093	0	0
strict	XP_058140293.1	1475	0.001354	0	0
strict	NP_001107963.1	1292	0.125254	0	1
strict	XP_029429046.1	1469	0.005416	0	0
