accession	query_accession	hsp_count	query_length	subject_length	query_covered_residues	subject_covered_residues	query_coverage	target_coverage	percent_identity	alignment_length	min_evalue	sum_bitscore	interpro_signature_hits	n_terminal_ring_signature_hits	ring_coordinates	ring_evidence	c_terminal_brct_signature_hits	brct_repeat_count	brct_coordinates	brct_evidence	domain_qc_status
NP_009225.1	NP_009225.1	1	1863	1863	1863	1863	1	1	100	1863	0	3844	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1644-1726;1758-1845	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1644-1723;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1758-1842;SMART:SM00292:BRCT_7@1644-1726;SMART:SM00292:BRCT_7@1758-1845	pass
NP_001038958.1	NP_009225.1	1	1863	1863	1863	1863	1	1	98.229	1863	0	3766	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1644-1726;1758-1845	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1644-1723;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1758-1842;SMART:SM00292:BRCT_7@1644-1726;SMART:SM00292:BRCT_7@1758-1845	pass
NP_033894.3	NP_009225.1	1	1863	1812	1858	1800	0.997316	0.993377	55.985	1863	0	1845	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1587-1669;1699-1787	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1592-1666;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1699-1784;SMART:SM00292:BRCT_7@1587-1669;SMART:SM00292:BRCT_7@1700-1787	pass
XP_017204702.2	NP_009225.1	1	1863	1853	1859	1842	0.997853	0.994064	69.474	1864	0	2515	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1626-1709;1741-1828	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1626-1706;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1741-1825;SMART:SM00292:BRCT_7@1627-1709;SMART:SM00292:BRCT_7@1741-1828	pass
NP_001013434.1	NP_009225.1	1	1863	1878	1861	1869	0.998926	0.995208	74.12	1874	0	2667	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1647-1729;1766-1853	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1663-1726;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1766-1850;SMART:SM00292:BRCT_7@1647-1729;SMART:SM00292:BRCT_7@1766-1853	pass
NP_848668.1	NP_009225.1	1	1863	1849	1856	1849	0.996243	1	71.781	1864	0	2587	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1638-1719;1751-1838	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1650-1716;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1752-1835;SMART:SM00292:BRCT_7@1638-1719;SMART:SM00292:BRCT_7@1751-1838	pass
XP_014595447.2	NP_009225.1	1	1863	1856	1859	1856	0.997853	1	76.515	1865	0	2824	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1641-1723;1755-1842	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1657-1720;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1755-1839;SMART:SM00292:BRCT_7@1641-1723;SMART:SM00292:BRCT_7@1755-1842	pass
XP_003414318.3	NP_009225.1	1	1863	1858	1863	1853	1	0.997309	73.971	1871	0	2671	7	2	29-69	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@29-69;SMART:SM00184:ring_2@29-69	4	2	1649-1721;1753-1840	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1654-1718;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1753-1837;SMART:SM00292:BRCT_7@1649-1721;SMART:SM00292:BRCT_7@1753-1840	pass
XP_058140293.1	NP_009225.1	1	1863	1839	1859	1839	0.997853	1	74.397	1867	0	2667	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1624-1706;1738-1825	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1640-1703;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1738-1822;SMART:SM00292:BRCT_7@1624-1706;SMART:SM00292:BRCT_7@1738-1825	pass
NP_001029141.1	NP_009225.1	1	1863	1840	1857	1834	0.996779	0.996739	46.215	1889	0	1321	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1615-1703;1735-1822	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1632-1700;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1735-1819;SMART:SM00292:BRCT_7@1615-1703;SMART:SM00292:BRCT_7@1735-1822	pass
