accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes	sequence_sha256	selection_order	decision_reason
NP_009225.1	9606	Homo sapiens	ingroup	self	true	true	false	1	1863	3844	0	NCBI Gene / RefSeq	GCF_000001405.40-RS_2025_08	2026-08-13	Primates	NP_009225.1	BRCA1	BRCA1 DNA repair associated		study	1	100	1863	query	NCBI Gene 672 and RefSeq NP_009225.1	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq isoform 1; focal sequence QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).	80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1	1	QUERY
XP_003414318.3	9785	Loxodonta africana	ingroup	one2one_ortholog	false	false	false	1	1858	2671	0	NCBI Gene / RefSeq	GCF_030014295.1-RS_2024_04	2026-08-13	Afrotheria	XP_003414318.3	BRCA1	BRCA1 DNA repair associated		expanded	0.997309	73.971	1871	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1649-1721;1753-1840)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1649-1721;1753-1840).	455a323cba4bba31d09d7017f08268d2bde12c8df77b882848a7c1e203b38f3e	2	SELECTED_INGROUP
XP_072775070.1	59729	Taeniopygia guttata	ingroup	one2one_ortholog	false	false	false	0.610843	1803	601	8.3e-86	NCBI Gene / RefSeq	GCF_048771995.1-RS_2025_04	2026-08-13	Aves	XP_072775070.1	BRCA1	BRCA1 DNA repair associated		expanded	0.645036	37.009	1197	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1591-1673;1705-1792)			not applicable	datasets download gene gene-id 672 --ortholog all	predicted X1; X2 logged as an alternative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1591-1673;1705-1792).	0a4fc6f08bfce3fc5667eb5d377e2ef505cdd7f70730d04aef0be379c7123a5a	3	SELECTED_INGROUP
NP_989500.1	9031	Gallus gallus	ingroup	one2one_ortholog	true	false	false	0.788513	1749	669	2.15e-82	NCBI Gene / RefSeq	NCBI Gallus gallus Annotation Release 106	2026-08-13	Aves	NP_989500.1	BRCA1	BRCA1 DNA repair associated		expanded	0.8502	36.585	1558	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1535-1617;1648-1736)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1535-1617;1648-1736).	1e9921c11fc3110efeda127ffab8f4f5cda0240f8afed4e7bc0170eb78a27f4d	4	SELECTED_INGROUP
XP_019406054.1	8502	Crocodylus porosus	ingroup	one2one_ortholog	false	false	false	0.112721	1845	314	5.99e-89	NCBI Gene / RefSeq	NCBI Crocodylus porosus Annotation Release 100	2026-08-13	Crocodylia	XP_019406054.1	BRCA1	BRCA1 DNA repair associated		expanded	0.113821	66.667	210	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1629-1713;1745-1832)			not applicable	datasets download gene gene-id 672 --ortholog all	only protein in current NCBI package QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1629-1713;1745-1832).	6364488fb8917b6fe32c2f1e07aaffa9d52552f79fdcc5f41262ded2c1056609	5	SELECTED_INGROUP
NP_033894.3	10090	Mus musculus	ingroup	one2one_ortholog	true	false	false	0.997316	1812	1845	0	NCBI Gene / RefSeq	GCF_000001635.27-RS_2024_02	2026-08-13	Glires	NP_033894.3	Brca1	BRCA1 DNA repair associated		expanded	0.993377	55.985	1863	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1587-1669;1699-1787)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1587-1669;1699-1787).	9efbb1366f2c40eebf0fda72143cbb1071dfe57aca96ebb611a99cc91b60be93	6	SELECTED_INGROUP
XP_017204702.2	9986	Oryctolagus cuniculus	ingroup	one2one_ortholog	false	false	false	0.997853	1853	2515	0	NCBI Gene / RefSeq	GCF_964237555.1-RS_2024_11	2026-08-13	Glires	XP_017204702.2	BRCA1	BRCA1 DNA repair associated		expanded	0.994064	69.474	1864	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1626-1709;1741-1828)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1626-1709;1741-1828).	aa15863e282e7be0befbfc2263deac23d7697a9e14646d5d9ee14fd69f348696	7	SELECTED_INGROUP
NP_001013434.1	9615	Canis lupus familiaris	ingroup	one2one_ortholog	true	false	false	0.998926	1878	2667	0	NCBI Gene / RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2026-08-13	Laurasiatheria	NP_001013434.1	BRCA1	BRCA1 DNA repair associated		expanded	0.995208	74.12	1874	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1647-1729;1766-1853)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1647-1729;1766-1853).	2030202149df889701bdbdcbc3538b789e3a065df6fa62a8cb3d027180bdc258	8	SELECTED_INGROUP
XP_014595447.2	9796	Equus caballus	ingroup	one2one_ortholog	false	false	false	0.997853	1856	2824	0	NCBI Gene / RefSeq	GCF_041296265.1-RS_2024_12	2026-08-13	Laurasiatheria	XP_014595447.2	BRCA1	BRCA1 DNA repair associated		expanded	1	76.515	1865	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1641-1723;1755-1842)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1641-1723;1755-1842).	89a98b8379caaec48356b09457bb9dc87080046c1ee86603021599319ab4b1f4	9	SELECTED_INGROUP
NP_848668.1	9913	Bos taurus	ingroup	one2one_ortholog	true	false	false	0.996243	1849	2587	0	NCBI Gene / RefSeq	GCF_002263795.3-RS_2024_12	2026-08-13	Laurasiatheria	NP_848668.1	BRCA1	BRCA1 DNA repair associated		expanded	1	71.781	1864	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1638-1719;1751-1838)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1638-1719;1751-1838).	7dc769c839eccc50a8969b35fd386787f1e1baff39d2934c27c1fb04d9b6b297	10	SELECTED_INGROUP
