accession	sequence_sha256	taxon_id	species	gene_id	sequence_length	isoform_label	gene_record_annotation_context	selection_rationale
NP_009225.1	80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1	9606	Homo sapiens	672	1863	1	NCBI gene-record annotation context: GCF_000001405.40-RS_2025_08	human RefSeq focal isoform
NP_001038958.1	bb3412c20abc375883b35d6159f0b1b00112d082d28057e905dfd45b090158ec	9598	Pan troglodytes	449497	1863		NCBI gene-record annotation context: GCF_028858775.2-RS_2026_05	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_001108421.1	cf3a2fc075c3ccc8eb49aab81f1efcd653f7b12d7d9c73e2aa10363f8bd8d213	9544	Macaca mulatta	712634	1863		NCBI gene-record annotation context: GCF_049350105.2-RS_2025_08	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_017364815.1	127618244e1fb1abead4c297ba32ec763122a53cd01b1ffe58f33a056b5b701c	2715852	Cebus imitator	108289781	1864	X1	NCBI gene-record annotation context: NCBI Cebus imitator Annotation Release 101	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_045382602.1	4be8b70a1ce6d73835b4d70c902baea1906592506c2d8ddc47cc5d66c38bfa71	9447	Lemur catta	123620994	1849	X1	NCBI gene-record annotation context: NCBI Lemur catta Annotation Release 100	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_033894.3	9efbb1366f2c40eebf0fda72143cbb1071dfe57aca96ebb611a99cc91b60be93	10090	Mus musculus	12189	1812		NCBI gene-record annotation context: GCF_000001635.27-RS_2024_02	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_017204702.2	aa15863e282e7be0befbfc2263deac23d7697a9e14646d5d9ee14fd69f348696	9986	Oryctolagus cuniculus	100347269	1853	X1	NCBI gene-record annotation context: GCF_964237555.1-RS_2024_11	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_036646.2	b7493184acbe51e1c256c77c1abf2f311409fc30b2a7d315423e2d11aafe406e	10116	Rattus norvegicus	497672	1817		NCBI gene-record annotation context: GCF_036323735.1-RS_2024_02	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_013005150.1	f46948787c5ad8809633f1e3859a7f0d158c57ae0ca422285d0d5d742f9dcaa5	10141	Cavia porcellus	100722339	1754	X1	NCBI gene-record annotation context: GCF_034190915.1-RS_2024_02	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_047399506.1	5c9c7ae429def5045922b1ee4e60685cfde7dfb94a9402cfa9d3b5b1b82ac07d	30640	Sciurus carolinensis	124979164	1849	X1	NCBI gene-record annotation context: GCF_902686445.1-RS_2023_03	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_001013434.1	2030202149df889701bdbdcbc3538b789e3a065df6fa62a8cb3d027180bdc258	9615	Canis lupus familiaris	403437	1878		NCBI gene-record annotation context: NCBI Canis lupus familiaris Annotation Release 106	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_848668.1	7dc769c839eccc50a8969b35fd386787f1e1baff39d2934c27c1fb04d9b6b297	9913	Bos taurus	353120	1849		NCBI gene-record annotation context: GCF_002263795.3-RS_2024_12	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_014595447.2	89a98b8379caaec48356b09457bb9dc87080046c1ee86603021599319ab4b1f4	9796	Equus caballus	100051990	1856	X1	NCBI gene-record annotation context: GCF_041296265.1-RS_2024_12	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_019673492.2	3b3e1329829fe9a1c19aaa5d174178e6e70bdaa3a70f5ce1dbde1bd66bbfeae5	9685	Felis catus	101081937	1873	X1	NCBI gene-record annotation context: NCBI Felis catus Annotation Release 105	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_013845389.1	7c189147ec5e5b081d06c9cc318009dc128800d1b04a35bea5e68ffb498dd54d	9823	Sus scrofa	100049662	1865	X1	NCBI gene-record annotation context: GCF_054392235.1-RS_2026_06	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_014314296.1	b681993f5a5262813509af9e6cb3b9aabc56a24520172fda8f06694ae5add583	59463	Myotis lucifugus	102434930	1876	X1	NCBI gene-record annotation context: NCBI Myotis lucifugus Annotation Release 102	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_060059410.1	ffb7f6fccd5822d11cf8f5b0d9e28d6504ff8f8513c41ce635f7a35df2ab69ea	9365	Erinaceus europaeus	103125983	1838		NCBI gene-record annotation context: GCF_950295315.1-RS_2023_10	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_003414318.3	455a323cba4bba31d09d7017f08268d2bde12c8df77b882848a7c1e203b38f3e	9785	Loxodonta africana	100653763	1858		NCBI gene-record annotation context: GCF_030014295.1-RS_2024_04	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_023581001.1	1736df1a87cbb61dcc1cba09cb04dc4010f38a63fdede83760ff4b4ad1caef17	127582	Trichechus manatus latirostris	101356605	1851		NCBI gene-record annotation context: GCF_000243295.1-RS_2024_01	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_075417988.1	ddde6053deff430cb36f7a8b57ab13b9149823380e1dda9024607647b387df82	94439	Tenrec ecaudatus	142459887	1802	X1	NCBI gene-record annotation context: GCF_050624435.1-RS_2025_07	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_058140293.1	6c608533ec051e665321d36b75e716f83f04864ff3f80a94c07a1a8ad88ae890	9361	Dasypus novemcinctus	101429125	1839	X1	NCBI gene-record annotation context: GCF_030445035.2-RS_2025_01	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_037665688.1	e3308a38057a6efe9460773941d8738bb62fc143629bdc8c59f0fd6004c6814f	27675	Choloepus didactylus	119514151	1862	X1	NCBI gene-record annotation context: NCBI Choloepus didactylus Annotation Release 100	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
