tip_id	analysis_role	inclusion_status	selection_order	reason_codes	accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes	sequence_sha256
NP_009225.1	study	selected	1		NP_009225.1	9606	Homo sapiens	ingroup	self	true	true	false	1	1863	3844	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000001405.40-RS_2025_08	2026-08-13	Primates	NP_009225.1	BRCA1	BRCA1 DNA repair associated		study	1	100	1863	query	NCBI GeneID 672 and RefSeq NP_009225.1	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	human RefSeq focal isoform QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).	80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1
XP_023581001.1	expanded	selected	2		XP_023581001.1	127582	Trichechus manatus latirostris	ingroup	ortholog	false	false	false	1	1851	2686	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000243295.1-RS_2024_01	2026-08-13	Afrotheria	XP_023581001.1	BRCA1	BRCA1 DNA repair associated		expanded	1	75.521	1871	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1632-1714;1746-1833)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1632-1714;1746-1833).	1736df1a87cbb61dcc1cba09cb04dc4010f38a63fdede83760ff4b4ad1caef17
XP_075417988.1	expanded	selected	3		XP_075417988.1	94439	Tenrec ecaudatus	ingroup	ortholog	false	false	false	0.996779	1802	1855	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_050624435.1-RS_2025_07	2026-08-13	Afrotheria	XP_075417988.1	BRCA1	BRCA1 DNA repair associated		expanded	0.99889	57.647	1870	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (20-60); tandem C-terminal BRCT (1583-1665;1697-1784)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 20-60; BRCT 1583-1665;1697-1784).	ddde6053deff430cb36f7a8b57ab13b9149823380e1dda9024607647b387df82
XP_003414318.3	expanded	selected	4		XP_003414318.3	9785	Loxodonta africana	ingroup	ortholog	false	false	false	1	1858	2671	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030014295.1-RS_2024_04	2026-08-13	Afrotheria	XP_003414318.3	BRCA1	BRCA1 DNA repair associated		expanded	0.997309	73.971	1871	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1649-1721;1753-1840)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1649-1721;1753-1840).	455a323cba4bba31d09d7017f08268d2bde12c8df77b882848a7c1e203b38f3e
XP_030901062.1	expanded	selected	5		XP_030901062.1	13146	Melopsittacus undulatus	ingroup	ortholog	false	false	false	0.871712	1818	733	1.27e-119	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_012275295.1-RS_2024_11	2026-08-13	Aves	XP_030901062.1	BRCA1	BRCA1 DNA repair associated		expanded	0.89989	36.291	1747	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1603-1688;1720-1807)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1603-1688;1720-1807).	9568a3147e219d3ef50478c04ba64fabde7c5a2fc8c106401409e5d3b399e21b
XP_029879002.1	expanded	selected	6		XP_029879002.1	223781	Aquila chrysaetos chrysaetos	ingroup	ortholog	false	false	false	0.995706	1867	737	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Aquila chrysaetos chrysaetos Annotation Release 101	2026-08-13	Aves	XP_029879002.1	BRCA1	BRCA1 DNA repair associated		expanded	0.999464	34.26	1979	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1652-1737;1768-1856)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1652-1737;1768-1856).	72157908aa23379eaf7d21b6dddc2215fe3e5d8e1537c559fcd5cf1d6699bd18
XP_072775070.1	expanded	selected	7		XP_072775070.1	59729	Taeniopygia guttata	ingroup	ortholog	false	false	false	0.610843	1803	601	2.33e-85	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_048771995.1-RS_2025_04	2026-08-13	Aves	XP_072775070.1	BRCA1	BRCA1 DNA repair associated		expanded	0.645036	37.009	1197	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1591-1673;1705-1792)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1591-1673;1705-1792).	0a4fc6f08bfce3fc5667eb5d377e2ef505cdd7f70730d04aef0be379c7123a5a
XP_025969353.2	expanded	selected	8		XP_025969353.2	8790	Dromaius novaehollandiae	ingroup	ortholog	false	false	false	0.995706	1864	786	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036370855.1-RS_2024_04	2026-08-13	Aves	XP_025969353.2	BRCA1	BRCA1 DNA repair associated		expanded	0.999464	35.282	2001	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1649-1734;1765-1853)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1649-1734;1765-1853).	897f68dd2b730d8e2bdcac1c558612ac1acc4838710b4b3b0eda899591870ade
XP_068775093.1	expanded	selected	9		XP_068775093.1	8801	Struthio camelus	ingroup	ortholog	false	false	false	0.916801	1861	770	5.27e-137	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_040807025.1-RS_2024_10	2026-08-13	Aves	XP_068775093.1	BRCA1	BRCA1 DNA repair associated		expanded	0.924234	36.842	1805	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1646-1731;1762-1850)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1646-1731;1762-1850).	37dc3025ff82308c8a357fb62d64888d961b3c9fb29591780ba456c20b034966
XP_027301205.3	expanded	selected	10		XP_027301205.3	8839	Anas platyrhynchos	ingroup	ortholog	false	false	false	0.550725	1848	456	5.15e-134	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_047663525.1-RS_2025_03	2026-08-13	Aves	XP_027301205.3	BRCA1	BRCA1 DNA repair associated		expanded	0.538961	36.229	1082	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1636-1718;1749-1837)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1636-1718;1749-1837).	a80059030aa68fc5991aa5118da27dfc7983914f1a3261202584ab51a69e4a56
