accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes
NP_009225.1	9606	Homo sapiens	ingroup	self	true	true	false		1863			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000001405.40-RS_2025_08	2026-08-13	Primates	NP_009225.1	BRCA1	BRCA1 DNA repair associated		study				query	NCBI GeneID 672 and RefSeq NP_009225.1	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	human RefSeq focal isoform
NP_001038958.1	9598	Pan troglodytes	ingroup	ortholog	true	false	false		1863			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_028858775.2-RS_2026_05	2026-08-13	Primates	NP_001038958.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_001108421.1	9544	Macaca mulatta	ingroup	ortholog	true	false	false		1863			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_049350105.2-RS_2025_08	2026-08-13	Primates	NP_001108421.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_017364815.1	2715852	Cebus imitator	ingroup	ortholog	false	false	false		1864			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Cebus imitator Annotation Release 101	2026-08-13	Primates	XP_017364815.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_045382602.1	9447	Lemur catta	ingroup	ortholog	false	false	false		1849			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Lemur catta Annotation Release 100	2026-08-13	Primates	XP_045382602.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_033894.3	10090	Mus musculus	ingroup	ortholog	true	false	false		1812			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000001635.27-RS_2024_02	2026-08-13	Glires	NP_033894.3	Brca1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_017204702.2	9986	Oryctolagus cuniculus	ingroup	ortholog	false	false	false		1853			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_964237555.1-RS_2024_11	2026-08-13	Glires	XP_017204702.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_036646.2	10116	Rattus norvegicus	ingroup	ortholog	true	false	false		1817			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036323735.1-RS_2024_02	2026-08-13	Glires	NP_036646.2	Brca1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_013005150.1	10141	Cavia porcellus	ingroup	ortholog	false	false	false		1754			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_034190915.1-RS_2024_02	2026-08-13	Glires	XP_013005150.1	Brca1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_047399506.1	30640	Sciurus carolinensis	ingroup	ortholog	false	false	false		1849			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_902686445.1-RS_2023_03	2026-08-13	Glires	XP_047399506.1	Brca1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
