accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes
NP_009225.1	9606	Homo sapiens	ingroup	self	true	true	false		1863			NCBI Gene / RefSeq	GCF_000001405.40-RS_2025_08	2026-08-13	Primates	NP_009225.1	BRCA1	BRCA1 DNA repair associated		study				query	NCBI Gene 672 and RefSeq NP_009225.1	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq isoform 1; focal sequence
NP_001038958.1	9598	Pan troglodytes	ingroup	one2one_ortholog	true	false	false		1863			NCBI Gene / RefSeq	GCF_028858775.2-RS_2026_05	2026-08-13	Primates	NP_001038958.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record
NP_033894.3	10090	Mus musculus	ingroup	one2one_ortholog	true	false	false		1812			NCBI Gene / RefSeq	GCF_000001635.27-RS_2024_02	2026-08-13	Glires	NP_033894.3	Brca1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record
XP_017204702.2	9986	Oryctolagus cuniculus	ingroup	one2one_ortholog	false	false	false		1853			NCBI Gene / RefSeq	GCF_964237555.1-RS_2024_11	2026-08-13	Glires	XP_017204702.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative
NP_001013434.1	9615	Canis lupus familiaris	ingroup	one2one_ortholog	true	false	false		1878			NCBI Gene / RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2026-08-13	Laurasiatheria	NP_001013434.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record
NP_848668.1	9913	Bos taurus	ingroup	one2one_ortholog	true	false	false		1849			NCBI Gene / RefSeq	GCF_002263795.3-RS_2024_12	2026-08-13	Laurasiatheria	NP_848668.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record
XP_014595447.2	9796	Equus caballus	ingroup	one2one_ortholog	false	false	false		1856			NCBI Gene / RefSeq	GCF_041296265.1-RS_2024_12	2026-08-13	Laurasiatheria	XP_014595447.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative
XP_003414318.3	9785	Loxodonta africana	ingroup	one2one_ortholog	false	false	false		1858			NCBI Gene / RefSeq	GCF_030014295.1-RS_2024_04	2026-08-13	Afrotheria	XP_003414318.3	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted representative
XP_058140293.1	9361	Dasypus novemcinctus	ingroup	one2one_ortholog	false	false	false		1839			NCBI Gene / RefSeq	GCF_030445035.2-RS_2025_01	2026-08-13	Xenarthra	XP_058140293.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative
NP_001029141.1	13616	Monodelphis domestica	ingroup	one2one_ortholog	true	false	false		1840			NCBI Gene / RefSeq	GCF_027887165.2-RS_2026_06	2026-08-13	Marsupialia	NP_001029141.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record
