taxon_id	species	gene_id	provider_protein_count	minimum_sequence_length	maximum_sequence_length	within_declared_length_gate_count	selected_accession	rejected_accession	selection_status	reason_code	evidence_note
57068	Acanthisitta chloris	103809371	1	1794	1794	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
32536	Acinonyx jubatus	106972629	12	764	1874	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
83528	Acomys minous	311580111	8	696	1792	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
60746	Acomys russatus	127200450	1	1787	1787	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
39638	Agelaius phoeniceus	129130887	3	1659	1776	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9191	Agelaius tricolor	139601785	2	1774	1775	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
499056	Ahaetulla prasina	131198349	3	2074	2110	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
9646	Ailuropoda melanoleuca	100480891	12	763	1869	9			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
100897	Alexandromys fortis	126510109	8	1512	1802	8			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8496	Alligator mississippiensis	102573178	8	1715	1877	8	XP_014464710.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
38654	Alligator sinensis	102369036	1	1877	1877	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
386614	Amblyraja radiata	116981998	1	1951	1951	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8296	Ambystoma mexicanum	138521410	3	1487	1955	3	XP_069490300.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
2857398	Ammospiza caudacuta	131568673	2	1790	1791	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
2857394	Ammospiza nelsoni	132084136	2	1790	1791	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
28680	Anas acuta	137844406	3	1846	1846	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8839	Anas platyrhynchos	101789679	6	1847	1848	6	XP_027301205.3		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
28377	Anolis carolinensis	100553919	2	1696	1697	2	XP_008111382.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
38937	Anolis sagrei	132778368	2	1691	1692	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
238106	Anomaloglossus baeobatrachus	142311493	2	1648	1649	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
