accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes
NP_009225.1	9606	Homo sapiens	ingroup	self	true	true	false	1	1863	3844	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000001405.40-RS_2025_08	2026-08-13	Primates	NP_009225.1	BRCA1	BRCA1 DNA repair associated		study	1	100	1863	query	NCBI GeneID 672 and RefSeq NP_009225.1	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	human RefSeq focal isoform QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).
NP_001038958.1	9598	Pan troglodytes	ingroup	ortholog	true	false	false	1	1863	3766	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_028858775.2-RS_2026_05	2026-08-13	Primates	NP_001038958.1	BRCA1	BRCA1 DNA repair associated		expanded	1	98.229	1863	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).
NP_001108421.1	9544	Macaca mulatta	ingroup	ortholog	true	false	false	1	1863	3504	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_049350105.2-RS_2025_08	2026-08-13	Primates	NP_001108421.1	BRCA1	BRCA1 DNA repair associated		expanded	1	93.026	1864	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).
XP_017364815.1	2715852	Cebus imitator	ingroup	ortholog	false	false	false	1	1864	3247	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Cebus imitator Annotation Release 101	2026-08-13	Primates	XP_017364815.1	BRCA1	BRCA1 DNA repair associated		expanded	1	87.179	1872	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1645-1727;1759-1846)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1645-1727;1759-1846).
XP_045382602.1	9447	Lemur catta	ingroup	ortholog	false	false	false	0.997853	1849	2859	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Lemur catta Annotation Release 100	2026-08-13	Primates	XP_045382602.1	BRCA1	BRCA1 DNA repair associated		expanded	0.994051	77.855	1865	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1623-1705;1737-1824)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1623-1705;1737-1824).
NP_033894.3	10090	Mus musculus	ingroup	ortholog	true	false	false	0.997316	1812	1845	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000001635.27-RS_2024_02	2026-08-13	Glires	NP_033894.3	Brca1	BRCA1 DNA repair associated		expanded	0.993377	55.985	1863	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1587-1669;1699-1787)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1587-1669;1699-1787).
XP_017204702.2	9986	Oryctolagus cuniculus	ingroup	ortholog	false	false	false	0.997853	1853	2515	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_964237555.1-RS_2024_11	2026-08-13	Glires	XP_017204702.2	BRCA1	BRCA1 DNA repair associated		expanded	0.994064	69.474	1864	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1626-1709;1741-1828)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1626-1709;1741-1828).
NP_036646.2	10116	Rattus norvegicus	ingroup	ortholog	true	false	false	0.997316	1817	1854	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036323735.1-RS_2024_02	2026-08-13	Glires	NP_036646.2	Brca1	BRCA1 DNA repair associated		expanded	0.992295	56.146	1863	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1590-1672;1702-1790)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1590-1672;1702-1790).
XP_013005150.1	10141	Cavia porcellus	ingroup	ortholog	false	false	false	0.99839	1754	1447	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_034190915.1-RS_2024_02	2026-08-13	Glires	XP_013005150.1	Brca1	BRCA1 DNA repair associated		expanded	0.995439	47.112	1887	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (28-68); tandem C-terminal BRCT (1530-1617;1649-1736)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 28-68; BRCT 1530-1617;1649-1736).
XP_047399506.1	30640	Sciurus carolinensis	ingroup	ortholog	false	false	false	0.999463	1849	2720	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_902686445.1-RS_2023_03	2026-08-13	Glires	XP_047399506.1	Brca1	BRCA1 DNA repair associated		expanded	0.996755	75.027	1870	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1630-1712;1744-1831)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1630-1712;1744-1831).
NP_001013434.1	9615	Canis lupus familiaris	ingroup	ortholog	true	false	false	0.998926	1878	2667	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Canis lupus familiaris Annotation Release 106	2026-08-13	Laurasiatheria	NP_001013434.1	BRCA1	BRCA1 DNA repair associated		expanded	0.995208	74.12	1874	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1647-1729;1766-1853)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1647-1729;1766-1853).
NP_848668.1	9913	Bos taurus	ingroup	ortholog	true	false	false	0.996243	1849	2587	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_002263795.3-RS_2024_12	2026-08-13	Laurasiatheria	NP_848668.1	BRCA1	BRCA1 DNA repair associated		expanded	1	71.781	1864	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1638-1719;1751-1838)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1638-1719;1751-1838).
XP_014595447.2	9796	Equus caballus	ingroup	ortholog	false	false	false	0.997853	1856	2824	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_041296265.1-RS_2024_12	2026-08-13	Laurasiatheria	XP_014595447.2	BRCA1	BRCA1 DNA repair associated		expanded	1	76.515	1865	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1641-1723;1755-1842)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1641-1723;1755-1842).
XP_019673492.2	9685	Felis catus	ingroup	ortholog	false	false	false	0.998926	1873	2756	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Felis catus Annotation Release 105	2026-08-13	Laurasiatheria	XP_019673492.2	BRCA1	BRCA1 DNA repair associated		expanded	0.995195	75.548	1869	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1647-1729;1761-1848)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1647-1729;1761-1848).
XP_013845389.1	9823	Sus scrofa	ingroup	ortholog	false	false	false	0.998926	1865	2722	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_054392235.1-RS_2026_06	2026-08-13	Laurasiatheria	XP_013845389.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996783	74.318	1869	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1642-1724;1756-1843)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1642-1724;1756-1843).
XP_014314296.1	59463	Myotis lucifugus	ingroup	ortholog	false	false	false	0.98336	1876	2524	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Myotis lucifugus Annotation Release 102	2026-08-13	Laurasiatheria	XP_014314296.1	BRCA1	BRCA1 DNA repair associated		expanded	0.965352	72.313	1842	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (47-82); tandem C-terminal BRCT (1638-1723;1755-1842)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 47-82; BRCT 1638-1723;1755-1842).
XP_060059410.1	9365	Erinaceus europaeus	ingroup	ortholog	false	false	false	0.998926	1838	2259	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_950295315.1-RS_2023_10	2026-08-13	Laurasiatheria	XP_060059410.1	BRCA1	BRCA1 DNA repair associated		expanded	0.995103	65.72	1867	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1607-1694;1726-1813)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1607-1694;1726-1813).
XP_003414318.3	9785	Loxodonta africana	ingroup	ortholog	false	false	false	1	1858	2671	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030014295.1-RS_2024_04	2026-08-13	Afrotheria	XP_003414318.3	BRCA1	BRCA1 DNA repair associated		expanded	0.997309	73.971	1871	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1649-1721;1753-1840)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1649-1721;1753-1840).
XP_023581001.1	127582	Trichechus manatus latirostris	ingroup	ortholog	false	false	false	1	1851	2686	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000243295.1-RS_2024_01	2026-08-13	Afrotheria	XP_023581001.1	BRCA1	BRCA1 DNA repair associated		expanded	1	75.521	1871	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1632-1714;1746-1833)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1632-1714;1746-1833).
XP_075417988.1	94439	Tenrec ecaudatus	ingroup	ortholog	false	false	false	0.996779	1802	1855	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_050624435.1-RS_2025_07	2026-08-13	Afrotheria	XP_075417988.1	BRCA1	BRCA1 DNA repair associated		expanded	0.99889	57.647	1870	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (20-60); tandem C-terminal BRCT (1583-1665;1697-1784)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 20-60; BRCT 1583-1665;1697-1784).
XP_058140293.1	9361	Dasypus novemcinctus	ingroup	ortholog	false	false	false	0.997853	1839	2667	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030445035.2-RS_2025_01	2026-08-13	Xenarthra	XP_058140293.1	BRCA1	BRCA1 DNA repair associated		expanded	1	74.397	1867	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1624-1706;1738-1825)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1624-1706;1738-1825).
XP_037665688.1	27675	Choloepus didactylus	ingroup	ortholog	false	false	false	0.998926	1862	2739	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Choloepus didactylus Annotation Release 100	2026-08-13	Xenarthra	XP_037665688.1	BRCA1	BRCA1 DNA repair associated		expanded	0.998926	75.694	1872	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1643-1725;1757-1844)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1643-1725;1757-1844).
NP_001029141.1	13616	Monodelphis domestica	ingroup	ortholog	true	false	false	0.996779	1840	1321	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_027887165.2-RS_2026_06	2026-08-13	Marsupialia	NP_001029141.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996739	46.215	1889	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1615-1703;1735-1822)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1615-1703;1735-1822).
XP_020828279.1	38626	Phascolarctos cinereus	ingroup	ortholog	false	false	false	0.996779	1857	1448	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_003287225.1-RS_2025_12	2026-08-13	Marsupialia	XP_020828279.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996769	48.103	1898	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1635-1720;1752-1839)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1635-1720;1752-1839).
XP_074079897.1	92651	Macrotis lagotis	ingroup	ortholog	false	false	false	0.996779	1835	1283	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_037893015.1-RS_2025_05	2026-08-13	Marsupialia	XP_074079897.1	BRCA1	BRCA1 DNA repair associated		expanded	0.997275	45.664	1914	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1617-1699;1730-1818)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1617-1699;1730-1818).
NP_989500.1	9031	Gallus gallus	ingroup	ortholog	true	false	false	0.788513	1749	669	6.02e-82	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Gallus gallus Annotation Release 106	2026-08-13	Aves	NP_989500.1	BRCA1	BRCA1 DNA repair associated		expanded	0.8502	36.585	1558	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1535-1617;1648-1736)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1535-1617;1648-1736).
XP_072775070.1	59729	Taeniopygia guttata	ingroup	ortholog	false	false	false	0.610843	1803	601	2.33e-85	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_048771995.1-RS_2025_04	2026-08-13	Aves	XP_072775070.1	BRCA1	BRCA1 DNA repair associated		expanded	0.645036	37.009	1197	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1591-1673;1705-1792)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1591-1673;1705-1792).
XP_068775093.1	8801	Struthio camelus	ingroup	ortholog	false	false	false	0.916801	1861	770	5.27e-137	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_040807025.1-RS_2024_10	2026-08-13	Aves	XP_068775093.1	BRCA1	BRCA1 DNA repair associated		expanded	0.924234	36.842	1805	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1646-1731;1762-1850)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1646-1731;1762-1850).
