accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes
NP_009225.1	9606	Homo sapiens	ingroup	self	true	true	false	1	1863	3844	0	NCBI Gene / RefSeq	GCF_000001405.40-RS_2025_08	2026-08-13	Primates	NP_009225.1	BRCA1	BRCA1 DNA repair associated		study	1	100	1863	query	NCBI Gene 672 and RefSeq NP_009225.1	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq isoform 1; focal sequence QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).
NP_001038958.1	9598	Pan troglodytes	ingroup	one2one_ortholog	true	false	false	1	1863	3766	0	NCBI Gene / RefSeq	GCF_028858775.2-RS_2026_05	2026-08-13	Primates	NP_001038958.1	BRCA1	BRCA1 DNA repair associated		expanded	1	98.229	1863	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1644-1726;1758-1845)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1644-1726;1758-1845).
NP_033894.3	10090	Mus musculus	ingroup	one2one_ortholog	true	false	false	0.997316	1812	1845	0	NCBI Gene / RefSeq	GCF_000001635.27-RS_2024_02	2026-08-13	Glires	NP_033894.3	Brca1	BRCA1 DNA repair associated		expanded	0.993377	55.985	1863	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1587-1669;1699-1787)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1587-1669;1699-1787).
XP_017204702.2	9986	Oryctolagus cuniculus	ingroup	one2one_ortholog	false	false	false	0.997853	1853	2515	0	NCBI Gene / RefSeq	GCF_964237555.1-RS_2024_11	2026-08-13	Glires	XP_017204702.2	BRCA1	BRCA1 DNA repair associated		expanded	0.994064	69.474	1864	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1626-1709;1741-1828)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1626-1709;1741-1828).
NP_001013434.1	9615	Canis lupus familiaris	ingroup	one2one_ortholog	true	false	false	0.998926	1878	2667	0	NCBI Gene / RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2026-08-13	Laurasiatheria	NP_001013434.1	BRCA1	BRCA1 DNA repair associated		expanded	0.995208	74.12	1874	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1647-1729;1766-1853)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1647-1729;1766-1853).
NP_848668.1	9913	Bos taurus	ingroup	one2one_ortholog	true	false	false	0.996243	1849	2587	0	NCBI Gene / RefSeq	GCF_002263795.3-RS_2024_12	2026-08-13	Laurasiatheria	NP_848668.1	BRCA1	BRCA1 DNA repair associated		expanded	1	71.781	1864	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1638-1719;1751-1838)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1638-1719;1751-1838).
XP_014595447.2	9796	Equus caballus	ingroup	one2one_ortholog	false	false	false	0.997853	1856	2824	0	NCBI Gene / RefSeq	GCF_041296265.1-RS_2024_12	2026-08-13	Laurasiatheria	XP_014595447.2	BRCA1	BRCA1 DNA repair associated		expanded	1	76.515	1865	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1641-1723;1755-1842)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1641-1723;1755-1842).
XP_003414318.3	9785	Loxodonta africana	ingroup	one2one_ortholog	false	false	false	1	1858	2671	0	NCBI Gene / RefSeq	GCF_030014295.1-RS_2024_04	2026-08-13	Afrotheria	XP_003414318.3	BRCA1	BRCA1 DNA repair associated		expanded	0.997309	73.971	1871	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1649-1721;1753-1840)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1649-1721;1753-1840).
XP_058140293.1	9361	Dasypus novemcinctus	ingroup	one2one_ortholog	false	false	false	0.997853	1839	2667	0	NCBI Gene / RefSeq	GCF_030445035.2-RS_2025_01	2026-08-13	Xenarthra	XP_058140293.1	BRCA1	BRCA1 DNA repair associated		expanded	1	74.397	1867	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1624-1706;1738-1825)			not applicable	datasets download gene gene-id 672 --ortholog all	full-length predicted X1 representative QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1624-1706;1738-1825).
NP_001029141.1	13616	Monodelphis domestica	ingroup	one2one_ortholog	true	false	false	0.996779	1840	1321	0	NCBI Gene / RefSeq	GCF_027887165.2-RS_2026_06	2026-08-13	Marsupialia	NP_001029141.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996739	46.215	1889	NCBI Orthologs	NCBI gene group 672; protein similarity, nucleotide alignment, and microsynteny	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1615-1703;1735-1822)			not applicable	datasets download gene gene-id 672 --ortholog all	RefSeq NP record QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1615-1703;1735-1822).
