citation_id	title	year	journal	doi	pmid	taxon_rank	taxa_covered	evidence_type	data_type	inference_method	model	topology_claim	directness	conflicts	limitations	source_url	retrieved_at
ncbi_ortholog_policy2026	How are orthologs calculated?	2026	NCBI Datasets documentation			database scope	More than 1,200 species in currently covered eukaryotic clades	official ortholog methodology	RefSeq annotations; protein similarity; exon, UTR and flanking nucleotide similarity; local microsynteny	All-to-all protein comparison followed by nucleotide and +/-10-gene-neighborhood evaluation; one-to-one pairs are tracked and anchor groups expanded transitively	Thresholded high-precision one-to-one locus assignment with possible RefSeq curator review	None; this method supplies ortholog candidates and does not infer a phylogeny	taxonomy-only	NCBI ortholog calls support reference sampling but do not constrain the BRCA1 gene-tree topology	Strict one-to-one calls favor precision over recall; coverage is limited to annotated clades and transitive anchors	https://www.ncbi.nlm.nih.gov/datasets/docs/v2/data-processing/policies-annotation/ortholog-calculation/	2026-08-13
ncbi_ortholog_retrieval2026	Retrieve ortholog data and metadata	2026	NCBI Datasets documentation			database scope	Human BRCA1 GeneID 672 and its available NCBI ortholog set	official data-retrieval procedure	Gene metadata plus protein and RNA FASTA in an NCBI Datasets gene package	`datasets download gene gene-id 672 --ortholog all`; metadata can be summarized with `dataformat`	NCBI Datasets v2 ortholog-set retrieval	None; the command retrieves records and does not establish a tree	exact-species	Retrieved records are candidates for QC, not species-tree expectations or BRCA1 topology constraints	A dynamic database result depends on the retrieval date and current RefSeq annotations	https://www.ncbi.nlm.nih.gov/datasets/docs/v2/tutorials/download-ortholog-dataset/	2026-08-13
oh2025_ncbi_orthologs	NCBI Orthologs: Public Resource and Scalable Method for Computing High-Precision Orthologs Across Eukaryotic Genomes	2025	Journal of Molecular Evolution	10.1007/s00239-025-10268-2	40996513	database scope	RefSeq-annotated eukaryotic genomes	authoritative primary methods paper	Protein sequences; exonic nucleotide sequences with 2-kb flanks; microsynteny	Competing locus pairs are scored across protein, nucleotide and neighborhood evidence to call high-confidence one-to-one orthologs	Multi-threshold decision process anchored to selected reference genomes	None; ortholog-set membership is not a gene-tree or species-tree result	broader	Orthology evidence supports inclusion, but it must not be used as a topological constraint on BRCA1	High precision intentionally sacrifices recall and can omit ambiguous duplicates	https://doi.org/10.1007/s00239-025-10268-2	2026-08-13
uniprot_p38398	BRCA1 - Breast cancer type 1 susceptibility protein - Homo sapiens (P38398)	2026	UniProtKB reviewed record			species	Homo sapiens canonical BRCA1 isoform 1, 1,863 aa	authoritative domain-architecture QC	Curated protein sequence and cross-database domain annotations	Manual UniProt curation integrated with PROSITE, Pfam, SMART, InterPro and other signatures	Canonical sequence has RING-type zinc finger 24-65, BRCT 1 at 1642-1736 and BRCT 2 at 1756-1855	One N-terminal RING and two C-terminal BRCT domains are expected in the human query	exact-species	This is sequence-architecture evidence, not a species-tree expectation or topology constraint	Coordinates are for human canonical P38398-1; ortholog boundaries and central low-complexity regions may differ	https://www.uniprot.org/uniprotkb/P38398/entry	2026-08-13
lou2014_brca1	Rapid evolution of BRCA1 and BRCA2 in humans and other primates	2014	BMC Evolutionary Biology	10.1186/1471-2148-14-155	25011685	order	23 simian primates, including Homo sapiens and Pan troglodytes	BRCA1 evolution and architecture QC	Full-length BRCA1 coding sequences plus population polymorphism data	Branch and site dN/dS analyses in PAML	Free-ratio, one-ratio, two-ratio and site-selection models	Repeated amino-acid positive selection was detected in primate BRCA1, with emphasis on the human-chimpanzee-bonobo lineage	exact-species	BRCA1 can carry locus-specific selective signal; its gene tree must not be forced to a primate species tree	Primate-only selection analysis; it does not validate orthology or topology across the full amniote sample	https://pmc.ncbi.nlm.nih.gov/articles/PMC4106182/	2026-08-13
mikkelsen2007_opossum	Genome of the marsupial Monodelphis domestica reveals innovation in non-coding sequences	2007	Nature	10.1038/nature05805	17495919	infraclass	Monodelphis domestica with eutherian genome comparisons	exact-species genomic context	Whole-genome shotgun assembly, gene annotation and multi-species comparative genomics	Comparative alignment and annotation of the first metatherian reference genome	Genome-scale comparative analyses	Metatheria, represented by Monodelphis, is the closest sampled outgroup to Eutheria (placental mammals)	exact-species	Species-tree expectation only; it is not a topological constraint on the BRCA1 gene tree	The paper is a genome analysis rather than a dedicated modern mammal species-tree inference	https://www.nature.com/articles/nature05805	2026-08-13
foley2023_mammals	A genomic timescale for placental mammal evolution	2023	Science	10.1126/science.abl8189	37104581	infraclass	241 placental mammals spanning every order, including the placental lineages represented in this BRCA1 example	species-tree expectation	Whole-genome alignments; nearly neutral noncoding sites; structural variants	Coalescent SVDquartets, concatenated maximum likelihood, locus-tree and rare-genomic-change analyses	Coalescent and concatenation frameworks with sensitivity analyses	Supports the major placental clades Afrotheria, Xenarthra, Euarchontoglires and Laurasiatheria; selected primates, Glires and laurasiatherians should cluster within those species clades	exact-species	Species-tree expectation only; it is not a topological constraint on the BRCA1 gene tree	Monodelphis is outside the placental scope; chromosome-specific discordance and rapid radiations remain relevant	https://pmc.ncbi.nlm.nih.gov/articles/PMC10233747/	2026-08-13
gemmell2020_amniotes	The tuatara genome reveals ancient features of amniote evolution	2020	Nature	10.1038/s41586-020-2561-9	32760000	class	27 tetrapods and 245 single-copy orthologues; exact Anolis carolinensis plus representative mammals, squamates, turtles, crocodilians and birds	species-tree expectation	Fourfold-degenerate whole-genome sites and single-copy orthologue clusters	RAxML maximum likelihood plus ASTRAL gene-tree summary; penalized-likelihood and Bayesian dating	GTR+G for orthologue gene trees; genome-scale nucleotide models	Amniotes split into mammalian Synapsida and reptile-plus-bird Sauropsida; Lepidosauria is monophyletic	broader	Species-tree expectation only; it is not a topological constraint on the BRCA1 gene tree	Pseudonaja textilis was not the sampled snake; the lepidosaur statement is a broader-clade comparison	https://www.nature.com/articles/s41586-020-2561-9	2026-08-13
green2014_archosaurs	Three crocodilian genomes reveal ancestral patterns of evolution among archosaurs	2014	Science	10.1126/science.1254449	25504731	clade	Crocodylus porosus, painted turtle and representative crocodilian, bird, turtle, lepidosaur, mammal and amphibian genomes	species-tree expectation	965 UCE-anchored loci, 337 single-copy genes and a 23-reptile whole-genome alignment	Partitioned RAxML maximum likelihood with 500 bootstraps plus concordant gene and genome analyses	Partitioned nucleotide maximum likelihood	Crocodilians are sister to birds (Archosauria), and turtles are sister to living archosaurs	exact-species	Species-tree expectation only; it is not a topological constraint on the BRCA1 gene tree	Very slow crocodilian and turtle rates are genome-wide context; the study does not analyze BRCA1 specifically	https://pmc.ncbi.nlm.nih.gov/articles/PMC4386873/	2026-08-13
stiller2024_birds	Complexity of avian evolution revealed by family-level genomes	2024	Nature	10.1038/s41586-024-07323-1	38560995	class	363 bird species from 218 families, covering Galliformes and Passeriformes represented by Gallus and Taeniopygia in this example	species-tree expectation	63,430 one-kilobase intergenic loci from whole-genome alignments	IQ-TREE locus trees with weak branches collapsed; ASTRAL-MP species tree; partitioned RAxML-NG comparison	Per-locus substitution models and multispecies-coalescent summary	Galliformes and Passeriformes occupy distinct neognath branches but remain within a monophyletic avian lineage	order	Species-tree expectation only; it is not a topological constraint on the BRCA1 gene tree	Deep avian nodes show incomplete lineage sorting, compositional effects and alternative genomic signals	https://www.nature.com/articles/s41586-024-07323-1	2026-08-13
hime2021_amphibians	Phylogenomics Reveals Ancient Gene Tree Discordance in the Amphibian Tree of Life	2021	Systematic Biology	10.1093/sysbio/syaa034	32359157	class	286 amphibian species across 220 loci, including Rhinatrema bivittatum and broad anuran sampling relevant to Xenopus	species-tree expectation	Anchored-hybrid-enrichment conserved exons	Concatenated and coalescent species-tree analyses, locus-by-locus topology tests and MCMCTree dating	Partitioned sequence models and multispecies-coalescent comparisons	Supports Amphibia and Batrachia; the caecilian Rhinatrema lies outside frog-plus-salamander Batrachia, so the two amphibian outgroups span a deep split	broader	Species-tree expectation only; it is not a topological constraint on the BRCA1 gene tree; the paper explicitly documents gene-tree discordance	Only two amphibian tips are retained here, so the BRCA1 example cannot represent the full deep-amphibian topology	https://pmc.ncbi.nlm.nih.gov/articles/PMC7823230/	2026-08-13
