accession	query_accession	hsp_count	query_length	subject_length	query_covered_residues	subject_covered_residues	query_coverage	target_coverage	percent_identity	alignment_length	min_evalue	sum_bitscore	interpro_signature_hits	n_terminal_ring_signature_hits	ring_coordinates	ring_evidence	c_terminal_brct_signature_hits	brct_repeat_count	brct_coordinates	brct_evidence	domain_qc_status
NP_009225.1	NP_009225.1	1	1863	1863	1863	1863	1	1	100	1863	0	3844	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1644-1726;1758-1845	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1644-1723;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1758-1842;SMART:SM00292:BRCT_7@1644-1726;SMART:SM00292:BRCT_7@1758-1845	pass
NP_001038958.1	NP_009225.1	1	1863	1863	1863	1863	1	1	98.229	1863	0	3766	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1644-1726;1758-1845	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1644-1723;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1758-1842;SMART:SM00292:BRCT_7@1644-1726;SMART:SM00292:BRCT_7@1758-1845	pass
NP_001108421.1	NP_009225.1	1	1863	1863	1863	1863	1	1	93.026	1864	0	3504	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1644-1726;1758-1845	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1646-1723;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1758-1842;SMART:SM00292:BRCT_7@1644-1726;SMART:SM00292:BRCT_7@1758-1845	pass
XP_017364815.1	NP_009225.1	1	1863	1864	1863	1864	1	1	87.179	1872	0	3247	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1645-1727;1759-1846	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1651-1724;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1759-1843;SMART:SM00292:BRCT_7@1645-1727;SMART:SM00292:BRCT_7@1759-1846	pass
XP_045382602.1	NP_009225.1	1	1863	1849	1859	1838	0.997853	0.994051	77.855	1865	0	2859	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1623-1705;1737-1824	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1627-1702;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1737-1821;SMART:SM00292:BRCT_7@1623-1705;SMART:SM00292:BRCT_7@1737-1824	pass
NP_033894.3	NP_009225.1	1	1863	1812	1858	1800	0.997316	0.993377	55.985	1863	0	1845	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1587-1669;1699-1787	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1592-1666;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1699-1784;SMART:SM00292:BRCT_7@1587-1669;SMART:SM00292:BRCT_7@1700-1787	pass
XP_017204702.2	NP_009225.1	1	1863	1853	1859	1842	0.997853	0.994064	69.474	1864	0	2515	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1626-1709;1741-1828	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1626-1706;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1741-1825;SMART:SM00292:BRCT_7@1627-1709;SMART:SM00292:BRCT_7@1741-1828	pass
NP_036646.2	NP_009225.1	1	1863	1817	1858	1803	0.997316	0.992295	56.146	1863	0	1854	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1590-1672;1702-1790	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1593-1669;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1702-1787;SMART:SM00292:BRCT_7@1590-1672;SMART:SM00292:BRCT_7@1703-1790	pass
XP_013005150.1	NP_009225.1	1	1863	1754	1860	1746	0.99839	0.995439	47.112	1887	0	1447	7	2	28-68	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@28-68;SMART:SM00184:ring_2@28-68	4	2	1530-1617;1649-1736	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1544-1613;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1650-1733;SMART:SM00292:BRCT_7@1530-1617;SMART:SM00292:BRCT_7@1649-1736	pass
XP_047399506.1	NP_009225.1	1	1863	1849	1862	1843	0.999463	0.996755	75.027	1870	0	2720	7	2	29-69	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@29-69;SMART:SM00184:ring_2@29-69	4	2	1630-1712;1744-1831	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1636-1709;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1744-1828;SMART:SM00292:BRCT_7@1630-1712;SMART:SM00292:BRCT_7@1744-1831	pass
